,Raw,Root,Translation,Sentence
201,variety,varieti,Çeşitlilik, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
202,special,special,özel, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
203,any,ani,hiç, without any delay while the users are logged on connected to a network system account normally using a password to the system
204,common,common,yaygın,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
205,household,household,ev, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
206,can,can,Yapabilmek, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
207,personal,person,kişiye özel, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
208,printer,printer,yazıcı, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
209,multimedia,multimedia,multimedya, A multimedia computer can process different forms of data including text graphics audio sound animation and video
210,carried,carri,taşınan, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
211,images,imag,Görüntüler, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
212,able,abl,hünerli, smart cards which are able to store information such as health records drivers’ licences bank balances etc
213,detect,detect,tespit etmek, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
214,viruses,virus,virüsler, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
215,simply,simpli,basitçe, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
216,hear,hear,duymak, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
217,cannot,cannot,olumsuz,e they cannot use the same programs and data
218,camera,camera,kamera, A digital camera allows photographs to be input to a computer for editing
219,balances,balanc,dengeler, smart cards which are able to store information such as health records drivers’ licences bank balances etc
220,that,that,o,     A computer is a device that processes data according to a set of instructions known  as a program
221,sizes,size,bedenler,  There is a range of sizes and types of computer
222,greetings,greet,selamlar, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
223,superhighway,superhighway,korumalı, An Internet system designed to provide free interactive access to vast resources for people all over the world is sometimes referred to as an information superhighway
224,hard,hard,sert, The most common storage device is a hard disk a set of aluminium disks coated in a magnetic material and enclosed in a vacuumsealed case used for storing the operating system and applications programs as well as the user’s data
225,device,devic,cihaz,     A computer is a device that processes data according to a set of instructions known  as a program
226,added,ad,katma, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
227,drivers’,driver,sürücüler, smart cards which are able to store information such as health records drivers’ licences bank balances etc
228,storing,store,saklama, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
229,illness,ill,hastalık, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
230,users,user,kullanıcılar, How they are developed and for what purposes they are actually used in the future can be influenced by computer users
231,company,compani,şirket, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
232,screen,screen,ekran, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
233,Microsoft,microsoft,Microsoft, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
234,FTP,ftp,FTP, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
235,information,inform,bilgi, smart cards which are able to store information such as health records drivers’ licences bank balances etc
236,equipment,equip,teçhizat, The equipment is known as  the hardware and the programs and data  are the software
237,main,main,ana, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
238,range,rang,Aralık,  There is a range of sizes and types of computer
239,using,use,kullanma, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
240,sorted,sort,sıralı, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
241,enclosed,enclos,kapalı, The most common storage device is a hard disk a set of aluminium disks coated in a magnetic material and enclosed in a vacuumsealed case used for storing the operating system and applications programs as well as the user’s data
242,lists,list,listeler, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
243,come,come,gelmek, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
244,include,includ,Dahil etmek, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
245,Protocol,protocol,Protokol, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
246,service,servic,hizmet, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
247,and,and,ve, The equipment is known as  the hardware and the programs and data  are the software
248,readydrawn,readydrawn,rafine etme, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
249,graphical,graphic,grafiksel, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
250,Relay,relay,Röle, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
251,known,known,bilinen,     A computer is a device that processes data according to a set of instructions known  as a program
252,throughout,throughout,boyunca, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
253,possible,possibl,mümkün,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
254,Wide,wide,Geniş,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
255,capital,capit,Başkent, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
256,delay,delay,gecikme, without any delay while the users are logged on connected to a network system account normally using a password to the system
257,smart,smart,akıllı, smart cards which are able to store information such as health records drivers’ licences bank balances etc
258,other,other,başka, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
259,wide,wide,geniş, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
260,attached,attach,ekli, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
261,decide,decid,karar ver, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
262,slots,slot,yuvalar, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
263,connection,connect,bağ, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
264,Net,net,Ağ, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
265,applications,applic,başvuru, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
266,found,found,bulundu, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
267,programs,program,programlar, The equipment is known as  the hardware and the programs and data  are the software
268,incorporated,incorpor,Anonim, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
269,connected,connect,bağlı, Networks connected together form an internet
270,built,built,inşa edilmiş, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
271,attach,attach,eklemek, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
272,developed,develop,gelişmiş, As computer systems are developed they are becoming more common and are gradually being used for more and more purposes
273,downloading,download,indirme, downloading music files
274,telecommute,telecommut,Telekominikasyon,  Services such as these allow people to telecommute use their computers to stay in touch with the office while they are working at home
275,services,servic,Hizmetler, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
276,interactive,interact,etkileşimli, An Internet system designed to provide free interactive access to vast resources for people all over the world is sometimes referred to as an information superhighway
277,parts,part,parça,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
278,although,although,olmasına rağmen, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
279,learning,learn,öğrenme, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
280,circuit,circuit,devre, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
281,typewriter,typewrit,daktilo, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
282,searched,search,aranmış, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
283,computer,comput,bilgisayar,     A computer is a device that processes data according to a set of instructions known  as a program
284,paper,paper,kağıt, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
285,referred,refer,sevk, Devices that include a computer circuit are commonly referred to as smart devices
286,Unlike,unlik,Farklı,  Unlike most machines computers do not have a fixed purpose
287,single,singl,bekar,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
288,externally,extern,harici olarak, A variety of devices known as peripherals can be added externally to a computer
289,The,the,., The equipment is known as  the hardware and the programs and data  are the software
290,‘connectivity’,connect,"""Bağlantı""", Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
291,doctors,doctor,doktor, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
292,into,into,içine, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
293,give,give,vermek, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
294,CDROMs,cdrom,Cdroms, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
295,small,small,küçük, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
296,graphic,graphic,grafik, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
297,reproduce,reproduc,üretmek, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
298,usually,usual,genellikle, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
299,applied,appli,uygulamalı, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
300,Services,servic,Hizmetler,  Services such as these allow people to telecommute use their computers to stay in touch with the office while they are working at home
301,multipurpose,multipurpos,çok amaçlı, They are multipurpose tools
302,allow,allow,izin vermek, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
303,webpage,webpag,internet sayfası, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
304,videoconferencing,videoconferenc,video konferans, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
305,Websites,websit,Web siteleri, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
306,process,process,işlem, A multimedia computer can process different forms of data including text graphics audio sound animation and video
307,devices,devic,cihazlar, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
308,security,secur,güvenlik, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
309,moving,move,hareketli, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
310,out,out,dışarı, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
311,systems,system,sistemler, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
312,world,world,dünya, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
313,actually,actual,aslında, How they are developed and for what purposes they are actually used in the future can be influenced by computer users
314,WWW,www,Www,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
315,files,file,Dosyalar, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
316,according,accord,binaen,     A computer is a device that processes data according to a set of instructions known  as a program
317,browsing,brows,göz atma, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
318,Word,word,Kelime, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
319,down,down,aşağı, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
320,most,most,çoğu,  Unlike most machines computers do not have a fixed purpose
321,share,share,Paylaş, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
322,laser,laser,lazer, CDROMs are storage devices that use laser light for reading and writing data
323,boards,board,tahtalar, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
324,designed,design,tasarlanmış, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
325,sound,sound,ses, A multimedia computer can process different forms of data including text graphics audio sound animation and video
326,ina,ina,ne zaman, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
327,inserted,insert,eklenmiş, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
328,interfaces,interfac,arayüzler, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
329,uploading,upload,yükleme, Note that copying data from a larger server system to a client is referred to as downloading and copying from the client to the server is known as uploading
330,part,part,Bölüm, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
331,pressing,press,baskı, This is done by pressing a button on the mouse i
332,read,read,okuman, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
333,types,type,türler,  There is a range of sizes and types of computer
334,unit,unit,birim, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
335,influenced,influenc,etkilenmiş, How they are developed and for what purposes they are actually used in the future can be influenced by computer users
336,Electronics,electron,Elektronik, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
337,interface,interfac,arayüz, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
338,operating,oper,işletme, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
339,disks,disk,diskler, The most common storage device is a hard disk a set of aluminium disks coated in a magnetic material and enclosed in a vacuumsealed case used for storing the operating system and applications programs as well as the user’s data
340,vast,vast,büyüklük, An Internet system designed to provide free interactive access to vast resources for people all over the world is sometimes referred to as an information superhighway
341,input,input,giriş, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
342,purposes,purpos,amaç, As computer systems are developed they are becoming more common and are gradually being used for more and more purposes
343,chip’,chip,yonga', the ‘computer on a chip’
344,store,store,mağaza, smart cards which are able to store information such as health records drivers’ licences bank balances etc
345,they,they,onlar, As computer systems are developed they are becoming more common and are gradually being used for more and more purposes
346,provide,provid,sağlamak, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
347,reading,read,okuma, CDROMs are storage devices that use laser light for reading and writing data
348,required,requir,gereklidir, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
349,fridges,fridg,buzdolabı, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
350,spreadsheets,spreadsheet,E -tablolar, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
351,used,use,Kullanılmış, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
352,together,togeth,bir arada, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
353,Worid,worid,ve istiyorum,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
354,copying,copi,kopyalama, Note that copying data from a larger server system to a client is referred to as downloading and copying from the client to the server is known as uploading
355,home,home,ev,  Services such as these allow people to telecommute use their computers to stay in touch with the office while they are working at home
356,Those,those,Şunlar, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
357,audio,audio,ses, A multimedia computer can process different forms of data including text graphics audio sound animation and video
358,client,client,müşteri, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
359,including,includ,içermek, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
360,output,output,çıktı, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
361,editing,edit,düzenleme, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
362,CDs,cds,CD'ler, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
363,animation,anim,animasyon, A multimedia computer can process different forms of data including text graphics audio sound animation and video
364,Note,note,Not, Note that copying data from a larger server system to a client is referred to as downloading and copying from the client to the server is known as uploading
365,printing,print,baskı, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
366,with,with,ile birlikte, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
367,edutainment,edutain,edutain, This enables computer systems to be used for a combination of education and entertainment sometimes referred to as edutainment
368,not,not,olumsuzluk,  Unlike most machines computers do not have a fixed purpose
369,threedimensional,threedimension,3 boyutlu, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
370,user,user,kullanıcı, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
371,provides,provid,sağlayan, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
372,website,websit,İnternet sitesi, A set of related webpages stored together on a server computer is called a website
373,which,which,Hangi, smart cards which are able to store information such as health records drivers’ licences bank balances etc
374,relevant,relev,ilgili, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
375,producing,produc,üreten, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
376,File,file,Dosya, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
377,networks,network,ağlar, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
378,newest,newest,en yeni,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
379,Computer,comput,Bilgisayar, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
380,name,name,isim,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
381,tools,tool,aletler, They are multipurpose tools
382,start,start,Başlat, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
383,Chat,chat,Sohbet, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
384,Common,common,Yaygın, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
385,popular,popular,popüler,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
386,this,this,Bu, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
387,treatment,treatment,tedavi, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
388,Transfer,transfer,Aktar, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
389,access,access,erişim, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
390,like,like,beğenmek, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
391,package,packag,paketi,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
392,data,data,veri,     A computer is a device that processes data according to a set of instructions known  as a program
393,between,between,arasında, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
394,Devices,devic,Cihazlar, Devices that include a computer circuit are commonly referred to as smart devices
395,There,there,Orası,  There is a range of sizes and types of computer
396,etc,etc,vb, smart cards which are able to store information such as health records drivers’ licences bank balances etc
397,well,well,kuyu, The most common storage device is a hard disk a set of aluminium disks coated in a magnetic material and enclosed in a vacuumsealed case used for storing the operating system and applications programs as well as the user’s data
398,what,what,ne, How they are developed and for what purposes they are actually used in the future can be influenced by computer users
399,form,form,biçim, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
400,all,all,tüm,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
401,education,educ,Eğitim, This enables computer systems to be used for a combination of education and entertainment sometimes referred to as edutainment
402,situations,situat,durumlar, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
403,different,differ,farklı, A multimedia computer can process different forms of data including text graphics audio sound animation and video
404,health,health,sağlık, smart cards which are able to store information such as health records drivers’ licences bank balances etc
405,internet,internet,internet, Networks connected together form an internet
406,IRC,irc,IRC, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
407,mathematical,mathemat,matematiksel, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
408,licences,licenc,lisans, smart cards which are able to store information such as health records drivers’ licences bank balances etc
409,writing,write,yazı, CDROMs are storage devices that use laser light for reading and writing data
